##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/15 16:41:46
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ]
5.19888878e+00, 3.17499950e-03, 7.47355968e-02, 3.88891719e+04, 4.85592842e-01, 3.34874207e+02, 1.73691475e+00, 3.88891719e+04, 2.78946075e+02, 5.81648010e+02
5.19888878e+00, -3.17499624e-03, 7.47355968e-02, 1.34851797e+05, 1.33814001e+00, 3.75648010e+02, 1.17578030e+00, 1.34851797e+05, 3.51009644e+02, 4.41679565e+02
5.18553686e+00, 3.17488378e-03, 7.47355968e-02, 7.43055859e+04, 8.29735279e-01, 3.54115112e+02, 1.47512531e+00, 7.43055859e+04, 3.11921814e+02, 5.22364136e+02
5.18553686e+00, -3.17488052e-03, 7.47355968e-02, 1.79285328e+05, 1.74105048e+00, 3.79725800e+02, 1.11828291e+00, 1.79285328e+05, 3.58671722e+02, 4.24640686e+02
5.46942520e+00, 3.17499950e-03, 1.90996304e-01, 1.39278418e+04, 2.00755879e-01, 3.11695679e+02, 2.06555247e+00, 1.39278418e+04, 2.41667755e+02, 6.43361816e+02
5.46942520e+00, -3.17499670e-03, 1.90996304e-01, 1.15801000e+05, 1.28936076e+00, 3.54614044e+02, 1.46994746e+00, 1.15801000e+05, 3.12807678e+02, 5.20989319e+02
5.46963882e+00, 3.17500043e-03, 1.79671198e-01, 2.36346191e+04, 3.44715506e-01, 3.09845642e+02, 2.09208941e+00, 2.36346191e+04, 2.38807281e+02, 6.47717285e+02
5.46963882e+00, -3.17499787e-03, 1.79671198e-01, 1.21949125e+05, 1.33299303e+00, 3.57911926e+02, 1.42449355e+00, 1.21949125e+05, 3.18646973e+02, 5.09820740e+02
5.46984386e+00, 3.17500159e-03, 1.68297797e-01, 3.04735059e+04, 4.31174845e-01, 3.14506836e+02, 2.02503610e+00, 3.04735059e+04, 2.46060318e+02, 6.36759460e+02
5.46984386e+00, -3.17499926e-03, 1.68297797e-01, 1.25446680e+05, 1.35911655e+00, 3.59504211e+02, 1.40246117e+00, 1.25446680e+05, 3.21488159e+02, 5.04183502e+02
5.46996689e+00, 3.17500299e-03, 1.56866595e-01, 5.18412461e+04, 6.13694012e-01, 3.43185547e+02, 1.62559915e+00, 5.18412461e+04, 2.93095245e+02, 5.55054749e+02
5.46996689e+00, -3.17500043e-03, 1.56866595e-01, 1.27540742e+05, 1.37548864e+00, 3.60329071e+02, 1.39099264e+00, 1.27540742e+05, 3.22965088e+02, 5.01208405e+02
5.46999693e+00, 3.17500439e-03, 1.45405903e-01, 6.74067969e+04, 7.50651240e-01, 3.54597717e+02, 1.46809375e+00, 6.74067969e+04, 3.12772675e+02, 5.20581848e+02
5.46999693e+00, -3.17500182e-03, 1.45405903e-01, 1.28510047e+05, 1.38514233e+00, 3.60432922e+02, 1.38951933e+00, 1.28510047e+05, 3.23151276e+02, 5.00828003e+02
5.46982002e+00, 3.17500555e-03, 1.33816093e-01, 6.86454531e+04, 7.59648800e-01, 3.55714966e+02, 1.45191276e+00, 6.86454531e+04, 3.14746857e+02, 5.16465149e+02
5.46982002e+00, -3.17500299e-03, 1.33816093e-01, 1.28668211e+05, 1.39017546e+00, 3.60001526e+02, 1.39549422e+00, 1.28668211e+05, 3.22378082e+02, 5.02378784e+02
